"Fecha","Hora","PVPC","Dia"
"2014/04/23","10",62.84343024,"miércoles"
"2014/04/23","11",62.07695024,"miércoles"
"2014/04/23","12",62.20279024,"miércoles"
"2014/04/23","13",61.90535024,"miércoles"
"2014/04/23","14",127.23385208,"miércoles"
"2014/04/23","15",125.22485208,"miércoles"
"2014/04/23","16",123.54877208,"miércoles"
"2014/04/23","17",122.71073208,"miércoles"
"2014/04/23","18",123.84725208,"miércoles"
"2014/04/23","19",123.56025208,"miércoles"
"2014/04/23","20",132.20469208,"miércoles"
"2014/04/23","21",134.42033208,"miércoles"
"2014/04/23","22",142.74333208,"miércoles"
"2014/04/23","23",130.29901208,"miércoles"
"2014/04/23","24",57.38655024,"miércoles"
"2014/04/24","1",58.90807024,"jueves"
"2014/04/24","2",52.97974756,"jueves"
"2014/04/24","3",51.64396756,"jueves"
"2014/04/24","4",52.45846756,"jueves"
"2014/04/24","5",48.82036756,"jueves"
"2014/04/24","6",47.97328756,"jueves"
"2014/04/24","7",52.72996756,"jueves"
"2014/04/24","8",59.45719024,"jueves"
"2014/04/24","9",63.33535024,"jueves"
"2014/04/24","10",65.76063024,"jueves"
"2014/04/24","11",62.43159024,"jueves"
"2014/04/24","12",59.11399024,"jueves"
"2014/04/24","13",55.69343024,"jueves"
"2014/04/24","14",118.47461208,"jueves"
"2014/04/24","15",109.63501208,"jueves"
"2014/04/24","16",106.63873208,"jueves"
"2014/04/24","17",100.63469208,"jueves"
"2014/04/24","18",99.11933208,"jueves"
"2014/04/24","19",97.60397208,"jueves"
"2014/04/24","20",103.37841208,"jueves"
"2014/04/24","21",113.43489208,"jueves"
"2014/04/24","22",118.32537208,"jueves"
"2014/04/24","23",108.20001208,"jueves"
"2014/04/24","24",32.28719024,"jueves"
"2014/04/25","1",27.77983024,"viernes"
"2014/04/25","2",19.52008756,"viernes"
"2014/04/25","3",18.60784756,"viernes"
"2014/04/25","4",18.37978756,"viernes"
"2014/04/25","5",18.69472756,"viernes"
"2014/04/25","6",18.59698756,"viernes"
"2014/04/25","7",22.24594756,"viernes"
"2014/04/25","8",30.70847024,"viernes"
"2014/04/25","9",36.25687024,"viernes"
"2014/04/25","10",36.61151024,"viernes"
"2014/04/25","11",31.62367024,"viernes"
"2014/04/25","12",27.37943024,"viernes"
"2014/04/25","13",27.04767024,"viernes"
"2014/04/25","14",96.73149208,"viernes"
"2014/04/25","15",94.03369208,"viernes"
"2014/04/25","16",92.95457208,"viernes"
"2014/04/25","17",90.05013208,"viernes"
"2014/04/25","18",90.32565208,"viernes"
"2014/04/25","19",90.08457208,"viernes"
"2014/04/25","20",89.92385208,"viernes"
"2014/04/25","21",97.08737208,"viernes"
"2014/04/25","22",106.71909208,"viernes"
"2014/04/25","23",101.07093208,"viernes"
"2014/04/25","24",29.41575024,"viernes"
"2014/04/26","1",30.28519024,"sábado"
"2014/04/26","2",25.36276756,"sábado"
"2014/04/26","3",21.52918756,"sábado"
"2014/04/26","4",20.86672756,"sábado"
"2014/04/26","5",20.32372756,"sábado"
"2014/04/26","6",20.60608756,"sábado"
"2014/04/26","7",21.69208756,"sábado"
"2014/04/26","8",26.65871024,"sábado"
"2014/04/26","9",25.80071024,"sábado"
"2014/04/26","10",25.61767024,"sábado"
"2014/04/26","11",28.68359024,"sábado"
"2014/04/26","12",26.83031024,"sábado"
"2014/04/26","13",27.71119024,"sábado"
"2014/04/26","14",95.57201208,"sábado"
"2014/04/26","15",91.53105208,"sábado"
"2014/04/26","16",88.47737208,"sábado"
"2014/04/26","17",87.74265208,"sábado"
"2014/04/26","18",87.80005208,"sábado"
"2014/04/26","19",88.27073208,"sábado"
"2014/04/26","20",89.17765208,"sábado"
"2014/04/26","21",91.84101208,"sábado"
"2014/04/26","22",99.87701208,"sábado"
"2014/04/26","23",98.47645208,"sábado"
"2014/04/26","24",27.29935024,"sábado"
"2014/04/27","1",30.76567024,"domingo"
"2014/04/27","2",22.75636756,"domingo"
"2014/04/27","3",20.73640756,"domingo"
"2014/04/27","4",21.80068756,"domingo"
"2014/04/27","5",22.05046756,"domingo"
"2014/04/27","6",24.66772756,"domingo"
